cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
physical stability,stability,key product quality attributes,quality_outcome,increases,1,1,high,to identify key product quality attributes such as aggregation.,31643066
stress conditions,stress,degradation products,stability,promotes,1,1,high,discusses suitable stress conditions... to detect degradation products.,31643066
RevCAR system,structure,specific activation,stability,promotes,1,1,high,RevCAR Tregs showed antigen-specific activation upon target engagement via the CEA-specific RevTM.,41408297
RevCAR system,structure,homing markers,stability,increases,1,1,high,expanded RevCAR Tregs predominantly exhibited a central memory phenotype with high expression of functional and homing m,41408297
inflammatory conditions,stress,FOXP3 expression,stability,stabilizes,1,1,high,the cells maintained stable FOXP3 and Helios expression with minimal pro-inflammatory cytokine production.,41408297
RevCAR Tregs,structure,dose-dependent suppression,stability,promotes,1,1,high,"RevCAR Tregs showed robust, dose-dependent suppression.",41408297
RevCAR Tregs,structure,stability,stability,requires,1,1,high,"the study establishes a scalable, GMP-compatible process for manufacturing pure, stable and functional universal RevCAR ",41408297
CDR grafting,sequence,binding affinity,stability,increases,1,1,high,HeLiNa-73 was engineered through CDR grafting from the clinical antibody IPH5301.,41519002
binding affinity,stability,cytotoxicity,stability,increases,1,1,high,HeLiNa-73 exhibited favorable binding to CD73 and potent cytotoxicity.,41519002
HeLiNa-73 treatment,formulation,CALR exposure,stability,promotes,1,1,high,"Treatment markedly increased CALR exposure (12.4% vs. 1.2% control, p<0.05).",41519002
HeLiNa-73 treatment,formulation,HMGB1 release,stability,promotes,1,1,high,"HMGB1 release (>10-fold, p<0.001) was markedly increased.",41519002
degradation,stability,impurities,quality_outcome,increases,1,1,high,"to monitor the degradation of a formulated mAb-like protein and for the simultaneous quantification of related CQAs, i.e",39500469
HeLiNa-73 treatment,formulation,DC maturation,stability,promotes,1,1,high,"enhanced DC maturation, with CD80/CD86 upregulation.",41519002
solubility,stability,bioactivity,stability,promotes,1,1,high,the soluble aggregate/polymer status of AhOC x AhCD3 with bioactivity was verified,17117923
storage time,stress,degradation,stability,increases,1,1,high,AhOC x AhCD3 was easily degraded into several fragments during the storage time,17117923
degradation,stability,fragments,stability,aggregates,1,1,high,AhOC x AhCD3 was easily degraded into several fragments,17117923
fragmentation,stability,bioactivity,stability,promotes,1,1,high,the mixtures of both fragment B and fragment C retained normal bioactivity,17117923
HOS,structure,efficacy,quality_outcome,decreases,1,1,high,Deviations in this critical quality attribute (CQA) may be linked to a decrease in the efficacy.,39500469
HOS,structure,safety,quality_outcome,decreases,1,1,high,Deviations in this critical quality attribute (CQA) may be linked to a decrease in the safety.,39500469
NMR spectroscopy,formulation,higher order structure,structure,modifies,1,1,high,NMR spectroscopy has been recently highlighted for protein HOS characterization.,39500469
NMR spectroscopy,formulation,degradation,stability,increases,1,1,high,to monitor the degradation of a formulated mAb-like protein.,39500469
degradation,stability,potency,quality_outcome,decreases,1,1,high,"to monitor the degradation of a formulated mAb-like protein and for the simultaneous quantification of related CQAs, i.e",39500469
degradation,stability,purity,quality_outcome,decreases,1,1,high,"to monitor the degradation of a formulated mAb-like protein and for the simultaneous quantification of related CQAs, i.e",39500469
HeLiNa-73 treatment,formulation,apoptosis,stability,promotes,1,1,high,HeLiNa-73 significantly promoted apoptosis.,41519002
CDR modifications,structure,stability,stability,increases,1,1,high,by introducing stabilizing mutations into five CDRs.,31614869
catechins,formulation,fragmentation,stability,prevents,1,1,high,the addition of catechins...prevented fragmentation content by about 20%.,38415979
catechins,formulation,cell density,stability,increases,1,1,high,increased viable cell density...by 30%.,38415979
catechins,formulation,titer,stability,increases,1,1,high,increased titer...by 10%.,38415979
copper sulfate,formulation,fragmentation,stability,increases,1,1,high,Adding copper sulfate to the culture medium further increased the fragment content.,38415979
reactive oxygen species,stress,fragmentation,stability,increases,1,1,high,suggesting the involvement of reactive oxygen species (ROS) in the fragmentation process.,38415979
fragmentation,stability,safety,quality_outcome,increases,1,1,high,"One of the critical attributes of mAbs, from a safety perspective, is mAb fragmentation.",38415979
sugar formulation,formulation,retention of size,stability,increases,1,1,high,combinations of sugar and an amino acid outperformed single excipients in terms of retention of protein size,41471034
L-leucine,formulation,hygroscopicity,stability,decreases,1,1,high,L-leucine reducing hygroscopicity and particle aggregation,41471034
L-leucine,formulation,particle aggregation,stability,decreases,1,1,high,L-leucine reducing hygroscopicity and particle aggregation,41471034
L-leucine,formulation,aerosol dispersibility,stability,increases,1,1,high,L-leucine reducing hygroscopicity and particle aggregation while improving aerosol dispersibility,41471034
YTE mutation,sequence,half-life,stability,increases,1,1,high,YTE mutation in the fragment crystallizable (Fc) region to extend the half-life in circulation.,34716091
HPbetaCD/L-leucine,formulation,aerodynamic performance,stability,increases,1,1,high,HPbetaCD/L-leucine offered the best balance of aerodynamic performance and protein stabilization,41471034
HPbetaCD/L-leucine,formulation,stabilization,stability,increases,1,1,high,HPbetaCD/L-leucine offered the best balance of aerodynamic performance and protein stabilization,41471034
new peak detection,formulation,peptide detection,quality_outcome,promotes,1,1,high,The multi-attribute method (MAM) by liquid chromatography-mass spectrometry peptide mapping has the potential to replace,41084101
new peak detection,formulation,quality impairment,quality_outcome,requires,1,1,high,"Prerequisite is the availability of the new peak detection (NPD) functionality to reliably detect new, absent, and chang",41084101
new peak detection,formulation,recognition,quality_outcome,promotes,1,1,high,The application of this NPD workflow signifies a substantial leap forward in the use of MAM as a quality control tool.,41084101
peptide detection,quality_outcome,quality impairment,quality_outcome,inhibits,1,1,high,"The detection thresholds have been rationally designed, and the NPD workflow has been successfully validated.",41084101
NPD workflow,formulation,peak identification,quality_outcome,promotes,1,1,high,as it allows identification of true positive peaks at adequate sensitivity in the absence of false positive peaks.,41084101
LC sequence,sequence,aggregation propensity,stability,increases,1,1,high,Each patient has a unique LC sequence that appears to define its propensity to aggregate.,40861476
uncommon residues,sequence,aggregation,stability,promotes,1,1,high,A subset of residues observed in AL-associated LCs was uncommon in the healthy repertoire.,40861476
LC sequence,sequence,amyloid formation,stability,increases,1,1,high,Systemic AL amyloidosis is caused by deposition of monoclonal antibody light chains.,40861476
residue changes,sequence,aggregation,stability,promotes,1,1,high,many types of residue change can contribute to disease.,40861476
albumin formulation,formulation,immunoglobulin activity,stability,increases,1,1,high,provided greater protection of immunoglobulin activity,41471034
LY3090106,formulation,B cell suppression,quality_outcome,inhibits,1,1,high,"In cynomolgus monkey, it suppressed B cell development and survival.",31181988
LY3090106,formulation,circulation integrity,quality_outcome,stabilizes,1,1,high,It remained functionally intact in circulation.,31181988
LY3090106,formulation,prolonged half-life,quality_outcome,increases,1,1,high,"It remained functionally intact in circulation, with a prolonged half-life.",31181988
ANGPTL3,sequence,lipoprotein metabolism,stability,modifies,1,1,medium,ANGPTL3 plays a crucial role in the regulation of lipoprotein metabolism.,41596567
ANGPTL3,sequence,LDL-cholesterol levels,stability,inhibits,1,1,medium,Inhibition of ANGPTL3 has emerged as a new therapeutic strategy to reduce LDL-cholesterol levels.,41596567
monoclonal antibodies,formulation,ANGPTL3,sequence,binds,1,1,medium,Therapeutic approaches for ANGPTL3 inhibition range from monoclonal antibodies.,41596567
ANGPTL3,sequence,production process,stability,inhibits,1,1,medium,antisense oligonucleotides modify ANGPTL3 mRNA to inhibit protein production.,41596567
siRNAs,formulation,ANGPTL3 mRNA,sequence,binds,1,1,medium,small interfering RNAs induce mRNA degradation.,41596567
ANGPTL3 mRNA,sequence,mRNA degradation,stability,induces,1,1,medium,small interfering RNAs induce mRNA degradation.,41596567
fluorine atoms,structure,therapeutic efficacy,quality_outcome,increases,1,1,medium,Fluorine's unique chemical properties... enhance therapeutic efficacy.,40755757
fluorine atoms,structure,metabolic stability,quality_outcome,increases,1,1,medium,Fluorine's unique chemical properties... metabolic stability.,40755757
nebulization,stress,stability,stability,requires,1,1,high,"the therapeutic antibody must be resistant to these stresses, remain stable.",31614869
fluorinated molecules,structure,immune modulation,quality_outcome,promotes,1,1,medium,small molecules are increasingly recognized for their potential to modulate the immune system.,40755757
fluorinated molecules,structure,pharmacokinetics,quality_outcome,increases,1,1,medium,improved pharmacokinetics and oral bioavailability.,40755757
fluorinated molecules,structure,oral bioavailability,quality_outcome,increases,1,1,medium,improved pharmacokinetics and oral bioavailability.,40755757
fluorinated compounds,structure,therapeutic outcome,quality_outcome,increases,1,1,medium,therapeutic outcomes of fluorinated compounds currently in preclinical and clinical development.,40755757
Sc-labelled Tz,formulation,solution stability,stability,stabilizes,1,1,high,The Sc-labelled Tz maintained stability in solution for up to 24h.,31140047
Sc-labelled Tz,formulation,bone uptake,stability,increases,1,1,high,Biodistribution data of the Sc-labelled Tz showed specific uptake in the bones.,31140047
compound,formulation,bone uptake,stability,promotes,1,1,high,This uptake was not present in rats not receiving pre-treatment.,31140047
compound,formulation,solution stability,stability,increases,1,1,high,There was a 30-fold higher bone uptake in the pre-treated rats compared to the non-treated controls.,31140047
mutation,sequence,aggregation,stability,decreases,1,1,high,"the therapeutic antibody must be resistant to these stresses, remain stable, and form minimal aggregates.",31614869
mutation,sequence,conformational stability,stability,increases,1,1,high,These modifications successfully generated a clone with significantly greater stability.,31614869
nebulization,stress,aggregation,stability,increases,1,1,high,"the nebulization process, however, generates diverse physiological stresses.",31614869
fluorine atoms,structure,lipophilicity,quality_outcome,modifies,1,1,medium,Fluorine's unique chemical properties... modulate lipophilicity.,40755757
domain fusion,structure,tumor cell invasion,quality_outcome,inhibits,1,1,high,enhanced ability to block tumor cell invasion,18347141
propeptide,sequence,inhibitory activity,stability,promotes,1,1,medium,"potent inhibitor of the peptidolytic, elastinolytic, and gelatinolytic activities",18347141
formulation,formulation,stabilizing trehalose,formulation,promotes,1,1,high,"critical co-encapsulated stabilizers, particularly mAb-stabilizing-trehalose",40250626
mAb stabilizer,formulation,stability,stability,stabilizes,1,1,high,mAb-stabilizing-trehalose,40250626
formulation,formulation,release,stability,modifies,1,1,high,control osmotic pressure induced by elevated levels of critical co-encapsulated stabilizers,40250626
formulation,formulation,immunoreactivity,stability,promotes,1,1,high,long-term continuous release of structurally stable and immunoreactive mAb,40250626
formulation,formulation,long-term efficacy,stability,increases,1,1,high,showed long-term efficacy in animal models for both wet AMD and GBM,40250626
formulation,formulation,controlled release,stability,promotes,1,1,high,capable of delivering several different mAbs for multiple indications,40250626
formulation process,stress,excipients,formulation,requires,1,1,high,Deviations can occur during formulation process either due to inaccurate buffer preparation.,31005704
excipients,formulation,quality,quality_outcome,increases,1,1,high,These need to be maintained within very tight specifications in order to ensure consistency in product quality.,31005704
temperature,stress,excipients,formulation,modifies,1,1,medium,"Operating conditions such as temperature, type of ion pairing agent, and mobile phase strength have been optimized.",31005704
residue changes,sequence,amyloid propensity,stability,increases,1,1,high,provide a framework for future investigations into sequence determinants of amyloid propensity.,40861476
mobile phase strength,formulation,excipients,formulation,modifies,1,1,medium,"Operating conditions such as temperature, type of ion pairing agent, and mobile phase strength have been optimized.",31005704
HPLC methods,formulation,excipients,formulation,promotes,1,1,high,This paper reports on development of two high performance liquid chromatography (HPLC) based methods for direct and simu,31005704
HPLC methods,formulation,stability,stability,increases,1,1,high,Excipients are critical components of a biotherapeutic product as they have a direct impact on the product's stability.,31005704
emulsifier concentration,formulation,stability,stability,increases,1,1,high,1%W/V emulsifier with 5%W/V NaCl achieved mAb-loaded microspheres with the highest stability.,38797299
emulsifier concentration,formulation,encapsulation efficiency,stability,increases,1,1,high,1%W/V emulsifier with 5%W/V NaCl achieved mAb-loaded microspheres with the highest stability.,38797299
emulsifier concentration,formulation,minimal release,stability,increases,1,1,high,1%W/V emulsifier with 5%W/V NaCl achieved mAb-loaded microspheres with the highest stability.,38797299
PLGA microspheres,formulation,passive diffusion,stability,promotes,1,1,high,"we developed a polymeric, rate-controlling membrane reservoir loaded with poly(lactic-co-glycolic acid) microspheres to ",38797299
PLGA microspheres,formulation,release profile,stability,modifies,1,1,high,the optimized microspheres were loaded into the reservoir-type polymeric implant.,38797299
polymer properties,structure,degradation,stability,modifies,1,1,high,distinct pore characteristics and degradation patterns in different films due to varying polymer properties.,38797299
60 PCL: 40 PEG (3%W/V) polymer,formulation,release profile,stability,promotes,1,1,high,the implant formulation...exerted the best drug release profile.,38797299
PLGA barrier,formulation,release profile,stability,modifies,1,1,high,the implant formulation...exerted the best drug release profile.,38797299
ion pairing agent,formulation,excipients,formulation,modifies,1,1,medium,"Operating conditions such as temperature, type of ion pairing agent, and mobile phase strength have been optimized.",31005704
scFv-Whitlow,structure,stability,stability,stabilizes,1,1,high,"scFv-Whitlow maintains a stable dynamic framework with flexible, independently moving V and V domains.",41319471
scFv-Whitlow,structure,functional stability,stability,promotes,1,1,high,supporting functional robustness.,41319471
scFv-GS,structure,structural integrity,stability,stabilizes,1,1,high,scFv-GS showed dynamics with preserved structural integrity.,41319471
linker regions,sequence,binding mode,structure,modifies,1,1,high,impact of incorporating different linker regions.,41319471
linker regions,sequence,stability,stability,modifies,1,1,high,impact of incorporating different linker regions.,41319471
binding energy,structure,binding affinity of scFv-Whitlow,stability,increases,1,1,high,higher binding affinity of scFv-Whitlow (-37.12kcal/mol) for CD20.,41319471
binding affinity of scFv-Whitlow,stability,interaction dynamics,stability,increases,1,1,high,highlighting its superior interaction dynamics.,41319471
DVD-Ig,formulation,Treg chemotaxis,stability,inhibits,1,1,high,Anti-HER2xCCR4 DVD-Igs inhibit Treg chemotaxis to TME.,41423265
DVD-Ig,formulation,TIL-Tregs,stability,decreases,1,1,high,"XL-11, by reducing TIL-Tregs and increasing CD8/Tregs ratios.",41423265
DVD-Ig,formulation,stability,stability,promotes,1,1,high,XL-11 was selected for in vivo evaluation due to its superior stability.,41423265
Tregs,stability,antitumor activity,stability,increases,1,1,high,"XL-11, by reducing TIL-Tregs and increasing CD8/Tregs ratios, induces potent antitumor activity.",41423265
domain fusion,structure,stability,stability,increases,1,1,high,Fc fusion protein exhibited enhanced stability in cell-based assays,18347141
XL-11,formulation,PK properties,stability,modifies,1,1,high,XL-11 shows superior PK properties.,41423265
XL-11,formulation,stability,stability,increases,1,1,high,XL-11 exhibits favorable stability and PK supporting clinical translation.,41423265
hydrophobicity variants,sequence,surface hydrophobicity,structure,increases,1,1,high,...relative hydrophobicity and surface charge.,41549894
hydrophobicity variants,sequence,filterability,stability,increases,1,1,high,"...the filterability of antibody variants within each lot, especially within the confines of relative hydrophobicity...",41549894
high-molecular-weight species,structure,fouling propensity,stability,increases,1,1,high,...the first sub-pool and the final sub-pool showed the most fouling propensity on VPro virus filters.,41549894
high-mannose glycovariants,structure,fouling propensity,stability,increases,1,1,high,...the first sub-pool and the final sub-pool showed the most fouling propensity on VPro virus filters.,41549894
basic charge variants,structure,fouling propensity,stability,increases,1,1,high,...the first sub-pool and the final sub-pool showed the most fouling propensity on VPro virus filters.,41549894
enriched proteoforms,structure,higher order differences,structure,modifies,1,1,high,...Circular dichroism and Fourier transform infrared spectroscopy were performed for each sub-pool to probe for higher-o,41549894
enriched proteoforms,structure,colloidal stability,stability,increases,1,1,high,"...bioanalytical techniques were also used to assess colloidal stability, surface hydrophobicity, surface charge, and si",41549894
last sub-pool,formulation,bends percentage,structure,increases,1,1,high,...enriched proteoforms in the last sub-pool possessed a higher percentage of bends.,41549894
last sub-pool,formulation,filterability,stability,increases,1,1,high,"...the filterability of antibody variants within each lot, especially within the confines of relative hydrophobicity.",41549894
DVD-Ig,formulation,systemic toxicity,stability,prevents,1,1,high,avoiding reducing Tregs throughout the body even at a high dose.,41423265
physiological conditions,stress,Cys labeling,stability,increases,1,1,medium,demonstrated near-quantitative Cys labeling (>95% yield) under physiological conditions (pH 7.4).,41337588
TPC reagents,formulation,compatibility with antibodies,stability,increases,1,1,high,showcasing its potential for constructing ADCs.,41337588
TPC reagents,formulation,suppression of tyrosine reactivity,stability,increases,1,1,medium,"while suppressing tyrosine reactivity, a limitation of earlier TPC probes.",41337588
peptide mass fingerprint,structure,changes in protein structure,structure,correlates,1,1,medium,track changes in the structure of a protein.,25612326
MALDI-TOF MS,formulation,mass fingerprint,structure,modifies,1,1,medium,use of the peptide mass fingerprint (PMF) obtained by MALDI-TOF mass spectrometry.,25612326
rituximab,sequence,changes in protein structure,structure,correlates,1,1,medium,"track changes in a commercially available monoclonal antibody (mAb), namely rituximab (RTX).",25612326
storage at 4°C,stress,stability of RTX,stability,prevents,1,1,medium,RTX samples were almost equally well preserved when stored refrigerated at 4 degrees C.,25612326
storage at -20°C,stress,stability of RTX,stability,prevents,1,1,medium,RTX samples were almost equally well preserved when stored frozen at -20 degrees C.,25612326
cluster-based comparison,structure,stability data,stability,promotes,1,1,medium,cluster-based methodology is new in protein mass spectrometry and could be useful as an easy test for major changes in p,25612326
specific interaction,structure,immobilization,stability,promotes,1,1,high,allowing for a strong and specific interaction between the antibodies and the nanoparticles.,37581531
Ecoil partners,sequence,interaction,structure,induces,1,1,high,Ecoil partners were genetically encoded at the C-terminus of trastuzumab's Fc region.,37581531
lipophilicity,formulation,elimination phase,stability,modifies,1,1,medium,3 parameters were optimized for each of the ADC and the payload.,40611718
Kcoil peptides,sequence,antibody coverage,stability,increases,1,1,high,A significant increase in the amount of immobilized antibodies was observed with the two oriented coil-based strategies.,37581531
oriented strategies,structure,detection,stability,promotes,1,1,high,we recommend using the E/K coiled-coil-based strategy for gold nanoparticle biofunctionalization.,37581531
surfactant,formulation,degradation,stability,inhibits,1,1,high,the addition of surfactants...have protective effects against the degradation of model mAb formulations,38291165
polyol mannitol,formulation,degradation,stability,inhibits,1,1,high,the addition of...polyol mannitol...have protective effects against the degradation of model mAb formulations,38291165
high concentration,formulation,degradation,stability,inhibits,1,1,high,the addition of...high protein concentration...have protective effects against the degradation of model mAb formulations,38291165
shaking stress,stress,SbVP formation,stability,increases,1,1,high,shaking stress...could impact SbVP generation,38291165
surfactant,formulation,SbVP formation,stability,inhibits,1,1,high,surfactant...could impact SbVP generation,38291165
polyol mannitol,formulation,SbVP formation,stability,inhibits,1,1,high,polyol mannitol...could impact SbVP generation,38291165
high concentration,formulation,SbVP formation,stability,inhibits,1,1,high,high protein concentration...could impact SbVP generation,38291165
succinyl-CoA,formulation,T cell-mediated immune response,stability,increases,1,1,medium,Elevated succinyl-CoA levels enhanced T cell-mediated tumor elimination.,40069506
succinyl-CoA,formulation,PD-L1 degradation,stability,promotes,1,1,medium,succinylation of PD-L1 at lysine 129 led to its degradation.,40069506
negatively charged tags,sequence,adsorption,structure,induces,1,1,high,specific adsorption of their negatively charged Ecoil tags on the positively charged gold surface.,37581531
N-linked sites deletion,sequence,stability,stability,increases,1,1,high,"Importantly, protein stability, affinity for ephrin ligands and antagonism of cell expressed EphA4 was fully preserved.",28747680
in vivo,stability,therapeutic development,quality_outcome,requires,1,1,high,a very short in vivo half-life effectively limited its therapeutic development.,28747680
stability,stability,affinity,stability,requires,1,1,high,"Importantly, protein stability, affinity for ephrin ligands and antagonism of cell expressed EphA4 was fully preserved.",28747680
stability,stability,EphA4 antagonism,stability,requires,1,1,high,"Importantly, protein stability, affinity for ephrin ligands and antagonism of cell expressed EphA4 was fully preserved.",28747680
acDrug,formulation,stability,stability,promotes,1,1,high,The stability results indicated that acDrug was stable at all stability test conditions.,32225092
short-term stability conditions,stress,stability,stability,promotes,1,1,high,acDrug was stable at all stability test conditions (short-term: 1 day).,32225092
long-term stability conditions,stress,stability,stability,promotes,1,1,high,acDrug was stable at all stability test conditions (long-term: 10 months).,32225092
Freeze/Thaw cycles,stress,stability,stability,promotes,1,1,high,acDrug was stable at all stability test conditions (Freeze/Thaw (F/T): 3 cycles).,32225092
blockade by antibody,formulation,neutrophil adhesion,stability,decreases,1,1,medium,blockade by an anti-CD41 monoclonal antibody... reduced CXCL8 and PMA induced neutrophil adhesion.,40885916
blockade by antibody,formulation,CXCL8 adhesion,stability,inhibits,1,1,medium,blockade by an anti-CD41 monoclonal antibody... reduced CXCL8 and PMA induced neutrophil adhesion.,40885916
degradation,stability,mAb aggregation,stability,promotes,1,1,high,"the breakdown products of polysorbate 80 have been shown to cause adverse effects, such as formation of sub-visible and ",37769426
TPC reagents,formulation,protein labeling,stability,increases,1,1,high,the most efficient and selective candidate for selective protein labeling.,41337588
surface aggregation,stability,long-term stability,stability,increases,1,1,high,the long-term stability of monoclonal antibody (mAb) formulations correlates with surface aggregation,41187965
mAb formulation,formulation,interfacial shear elasticity,stability,correlates,1,1,high,the long-term stability of monoclonal antibody (mAb) formulations correlates with interfacial shear elasticity,41187965
compression,stress,2D Poisson ratios,structure,decreases,1,1,high,the calculated 2D Poisson ratios decrease from 0.9 to 0.4 with increasing compression,41187965
partial unfolding,structure,high interfacial elasticity,stability,induces,1,1,high,"the high interfacial elasticity is due to the beta-sheet structure forming from localized, partial unfolding of mAb at t",41187965
mAb,sequence,beta-sheet structure,structure,requires,1,1,high,"the high interfacial elasticity is due to the beta-sheet structure forming from localized, partial unfolding of mAb at t",41187965
formulation parameters,formulation,secondary structure,structure,stabilizes,1,1,high,Formulation parameters did not alter the secondary structure of TT.,23117021
formulation parameters,formulation,physicochemical properties,stability,stabilizes,1,1,high,"Physicochemical properties (size, zeta potential, pH value) of formulation were investigated as stability indicating par",23117021
CsAuNPs,formulation,TT,stability,prevents,1,1,high,The CsAuNPs conferred protection to TT against gastric hydrolysis.,23117021
nanoparticles,formulation,immune responses,quality_outcome,promotes,1,1,high,TT-QS-CsAuNPs induced up to 28-fold immune responses compared to control formulations.,23117021
TPC reagents,formulation,Cys labeling,stability,increases,1,1,high,the design and optimization of triazine-pyridinium chemistry (TPC) reagents for selective Cys labeling.,41337588
Cys labeling,stability,robustness,stability,increases,1,1,high,The optimized labeling ensured robust stability of the conjugates in biological environments.,41337588
mAb formulation,formulation,surface aggregation,stability,correlates,1,1,high,the long-term stability of monoclonal antibody (mAb) formulations correlates with surface aggregation,41187965
Cit-AuNRs@Anti-TRPV1,formulation,ferroptosis,stability,prevents,1,1,high,Cit-AuNRs@Anti-TRPV1 protects chondrocytes from ferroptosis.,38358041
NIR irradiation,stress,TRPV1 activation,stability,induces,1,1,high,Cit-AuNRs@Anti-TRPV1 under NIR irradiation protects chondrocytes from ferroptosis.,38358041
activation,sequence,osteoarthritis progression,stability,decreases,1,1,high,The activation of TRPV1 by Cit-AuNRs@Anti-TRPV1 evidently improved physical activities and alleviated pain of destabiliz,38358041
agitation,stress,subvisible particles,stability,increases,1,1,high,assess how proteinaceous SbVP suspended in solutions of monoclonal antibody (mAb) can be analyzed after exposure to agit,41581829
formulation pH,formulation,subvisible particles,stability,modifies,1,1,high,storage with varied formulation pH,41581829
subvisible particles,stability,product stability,stability,increases,1,1,high,enabling direct assessment of product stability,41581829
nCOF,structure,aggregation-induced quenching,stability,destabilizes,1,1,medium,significantly alleviates the AIQ of Pc,40638847
nCOF,structure,reactive oxygen species generation,stability,increases,1,1,medium,enables efficient ROS generation throughout tumor tissues,40638847
mitochondrial stress,stability,immunogenicity,quality_outcome,induces,1,1,medium,induces immunogenic cancer cell pyroptosis,40638847
mitochondrial stress,stability,PD-L1 expression,quality_outcome,increases,1,1,medium,upregulates PD-L1 expression,40638847
SDT,structure,antitumor immune response,quality_outcome,promotes,1,1,medium,elicit a robust antitumor immune response,40638847
CPT1A,sequence,anti-tumor,stability,increases,1,1,medium,Increased CPT1A boosted anti-tumor activity.,40069506
residual hydrolases,formulation,stability,stability,destabilizes,1,1,high,Polysorbate degradation in biopharmaceutical formulations can impact the stability and efficacy of therapeutic proteins.,41386475
polysorbate species,formulation,degradation fingerprints,stability,modifies,1,1,medium,"Our findings reveal distinct degradation fingerprints of five CHO-derived hydrolases, highlighting their unique preferen",41386475
RP-UPLC-MS,formulation,hydrolase activity,stability,modifies,1,1,medium,"RP-UPLC-MS enables the precise identification of individual polysorbate species and their degradation products, providin",41386475
T-DM1 formulation,formulation,intracranial stability,stability,promotes,1,1,medium,long-term systemic and intracranial stability following CNS-directed local therapy and subsequent T-DM1 treatment.,41695348
T-DM1 formulation,formulation,disease stability,stability,promotes,1,1,medium,continued disease stability without the development of new metastatic lesions.,41695348
CNS therapy,stress,intracranial stability,stability,promotes,1,1,medium,long-term systemic and intracranial stability following CNS-directed local therapy and subsequent T-DM1 treatment.,41695348
CNS therapy,stress,disease stability,stability,promotes,1,1,medium,continued disease stability without the development of new metastatic lesions.,41695348
long-term administration,stress,tolerability,quality_outcome,increases,1,1,medium,"Long-term tolerability was acceptable, with only intermittent grade 1 hyperbilirubinemia.",41695348
long-term administration,stress,cardiac function,quality_outcome,requires,1,1,medium,preserved cardiac function on longitudinal monitoring.,41695348
DP303c,formulation,affinity,stability,increases,1,1,high,DP303c showed a high affinity with HER2.,35422630
DP303c,formulation,internalization,stability,promotes,1,1,high,DP303c could be effectively internalized.,35422630
residual hydrolases,formulation,polysorbate degradation,formulation,induces,1,1,high,This degradation is predominantly caused by specific residual host cell hydrolases present at sub-ppm concentrations.,41386475
bezafibrate,formulation,CPT1A levels,stability,increases,1,1,medium,bezafibrate upregulated CPT1A.,40069506
CPT1A levels,stability,anti-PD-1 responses,quality_outcome,correlates,1,1,medium,higher PD-L1 and lower CPT1A levels correlated with better anti-PD-1 therapy responses.,40069506
CPT1A,sequence,PD-L1 degradation,stability,promotes,1,1,medium,"CPT1A, identified as a succinyltransferase for PD-L1.",40069506
trehalose,formulation,physical-chemical characteristics,stability,stabilizes,1,1,high,co-encapsulation of trehalose and bevacizumab into PLGA nanoparticles... allowed maintenance of the physical-chemical ch,30036718
trehalose,formulation,secondary/tertiary structure,stability,stabilizes,1,1,high,maintenance of the physical-chemical characteristics of nanoparticles and bevacizumab secondary and tertiary structure,30036718
bevacizumab,formulation,antiangiogenic,stability,stabilizes,1,1,high,the antiangiogenic activity of bevacizumab was kept over 6months of storage,30036718
lyophilization protocol,formulation,bevacizumab stability,stability,stabilizes,1,1,high,developed an optimized and validated lyophilization protocol,30036718
nanoencapsulation,formulation,long-term stability,stability,promotes,1,1,high,Nanoencapsulation of bevacizumab might be a useful alternative to increase administration intervals,30036718
anti-SSTR2 mAb,sequence,surface binding,stability,increases,1,1,high,the anti-SSTR2 mAb showed strong and specific surface binding to NETs.,32684623
anti-SSTR2 mAb,sequence,stability,stability,promotes,1,1,high,the anti-SSTR2 ADC has a high-therapeutic potential for NET therapy.,32684623
anti-SSTR2 mAb,sequence,internalization,stability,increases,1,1,high,"the ADC can effectively bind, internalize, release payload, and kill NET cells.",32684623
activation,sequence,cartilage degradation,stability,inhibits,1,1,high,NIR irradiation significantly activated TRPV1 and attenuated cartilage degradation.,38358041
anti-SSTR2 ADC,structure,stability,stability,increases,1,1,high,the anti-SSTR2 ADC...high stability in vivo.,32684623
anti-SSTR2 ADC,structure,antitumor efficacy,stability,increases,1,1,high,the anti-SSTR2 ADC...high stability in vivo.,32684623
high stability,stability,minimal toxicity,quality_outcome,promotes,1,1,high,the anti-SSTR2 ADC...with minimal toxicity and high stability in vivo.,32684623
viscosity excipients,formulation,interactions,stability,destabilizes,1,1,high,viscosity-reducing excipients to diminish the interactions between protein molecules.,40064383
viscosity excipients,formulation,viscosity,stability,decreases,1,1,high,all individual test compounds reduced the viscosity of the mAb formulation by more than 30%.,40064383
viscosity,stability,protein stability,stability,increases,1,1,high,An accelerated stability study showed similar stabilization effects.,40064383
test compounds,formulation,viscosity,stability,decreases,1,1,high,A reduction in the viscosity of the formulation below the 20 mPas threshold.,40064383
test compounds,formulation,percentage of aggregates,stability,decreases,1,1,high,The percentage of aggregates was below 5% in most formulations.,40064383
test compounds,formulation,attractive forces,stability,decreases,1,1,high,the test compounds reduced the attractive forces between the mAb molecules.,40064383
activation,sequence,ferroptosis,stability,inhibits,1,1,high,pharmacological activation of transient receptor potential vanilloid 1 (TRPV1) significantly alleviated cartilage degene,38358041
